Form Name,Button Name,Drive Link
Directory,Quick Start Guide,https://drive.google.com/file/d/1e4vmrH2ujOJe6ws8YvW8Ki-4GA9BGgTx/view?usp=sharing
Directory,Invite To Presentaiton,https://calendar.google.com/calendar/b/1/r/month/2019/9/1?cid=bm1xc3JlYnVwMzUxbzJmMjczbmo3NTNqMzBAZ3JvdXAuY2FsZW5kYXIuZ29vZ2xlLmNvbQ
L.I.S.T.,Intro Info,https://drive.google.com/file/d/1cxp7kbDMgIr0VNdb35PHIzWQUCk3XeOn/view?usp=sharing
L.I.S.T.,Share Results,https://drive.google.com/file/d/1sIKcdBXOBCTchQzzOenBxmvt5I2hCFxV/view?usp=sharing
L.I.S.T.,Team,https://drive.google.com/file/d/1I5-nOKgx-iSjXlg88H_MtmtbEQ6fIUwt/view?usp=sharing
C.O.F.F.E.E. ,Connect,https://drive.google.com/file/d/1sri2_r80msBtzEpuNg0qFUs_Yq5eJyT0/view?usp=sharing
C.O.F.F.E.E. ,Observation Based Offer,https://drive.google.com/file/d/1Qontvsuo5h9kfkv_2-Dc38EcMmU1kqU9/view?usp=sharing
C.O.F.F.E.E. ,Follw Up Immediate,https://drive.google.com/file/d/1dQeLohYoaHqbxgABBESbKCO9IeTphJVm/view?usp=sharing
C.O.F.F.E.E. ,Follow Up Ongoing,https://drive.google.com/file/d/13CbJ1Lp7zA6C7nnTJBICqaRCklzjFAf-/view?usp=sharing
C.O.F.F.E.E. ,Engage,https://drive.google.com/file/d/1INUsaCV_x_4p7AhSVSEVkHVLhKMR51sf/view?usp=sharing
C.O.F.F.E.E. ,Enjoy,https://drive.google.com/file/d/1av-6DUq_WiihEGwt6BblijL_MAdomu64/view?usp=sharing
How To Pitch,Teammates,Shared Link
How To Pitch,Viens Vessels and Vitality vvv,https://drive.google.com/file/d/1K3gksXyQZX2KLWK_74WV93Ivm8chdCb0/view?usp=sharing
How To Pitch,IBD Email Training,https://drive.google.com/file/d/1kDHGW-0I6in31-bpWNF7lSh_9VUN7lF7/view
Presentation,Google Calendar,https://calendar.google.com/calendar/b/1/r/month/2019/9/1?cid=bm1xc3JlYnVwMzUxbzJmMjczbmo3NTNqMzBAZ3JvdXAuY2FsZW5kYXIuZ29vZ2xlLmNvbQ
Presentation,Online Presentations,https://drive.google.com/file/d/1qzie652WtRrNDVS1tPkx6_PizeYjDEbc/view?usp=sharing
Presentation,Results Resource,https://drive.google.com/file/d/12-pU2fpgAK1n8T7-hduoLS2T-j1SL5uo/view?usp=sharing
Presentation,Template Follow Up Email,https://drive.google.com/file/d/1WhEyfz6t4HZeHKkOc1f1e1qe-dYfguHQ/view?usp=sharing
Share BEMER,BYB Quick Start Guide,shared link ---->
Demonstrations,Offers,https://drive.google.com/file/d/1BLUZ2wxI4B1pVV-SVajtmMLyt9NkD11k/view?usp=sharing
Demonstrations,Skill For Success - Running An Effective Session,https://drive.google.com/file/d/1sD0m2uWubil6dDy6eUStWD9mSgehn4tH/view?usp=sharing
Demo 1,Sign Demo/Consent Form,https://form.jotform.com/80445962406156
Demo 1,Pitch VVV,shared link ---->
Demo 1,Share Your Story,https://drive.google.com/file/d/1KR9R-YRwcZl_AAXtBi1jjC6uYEXI_7_b/view?usp=sharing
Demo 1,Show Blood Flow Video,https://drive.google.com/file/d/1MP6OIcc51XH3ciUowe_SGtXSUqNqpB14/view?usp=sharing
Demo 1,Share: Story Intro Video,https://vimeopro.com/kimsimsby/8-minute-story
Demo 1,Share: Science Intro Video,https://www.youtube.com/watch?v=d9p2-iGMDOo&feature=youtu.be
Demo 2,Check In,https://drive.google.com/file/d/1KIw18pe7ovvAYf4SBhAVDVZeQ1fOoriS/view?usp=sharing
Demo 2,Address Concerns,(go to addressing concerns form instead?) - YES
Demo 2,When Relevant - Drip Information,https://drive.google.com/file/d/1ZUd-Gw9EfqifICRenE--1cNiZVUd7cSX/view?usp=sharing
Demo 2,Share Others' BEMER Stories,shared link ---->
Demo 3,Check In,shared link ---->
Demo 3,Invite to Presentation,shared link ---->
Demo 3,Request They Join Team,shared link ---->
Demo 3,Offer Opportunities,shared link ---->
Educate (not TEA),BEMER Drips,shared link ---->
Educate (not TEA),Coffee Table Book,https://drive.google.com/file/d/1KP1uqAVVAYfBX0x1qhBUmt4mCPaAclCa/view?usp=sharing
Educate (not TEA),Results Resource,shared link ---->
Educate (not TEA),Offers,shared link ---->
Educate (not TEA),Skill For Success - Follow Up/Service,https://drive.google.com/file/d/1ihdgmRu60HZFfAnVwDc3Y3C9wVjNlG0c/view?usp=sharing
Red,Vales of Red ,https://drive.google.com/file/d/18IIMuomIHswV3Hobw_uML5DO_1sasgd6/view?usp=sharing
Blue,Vales of Blue,https://drive.google.com/file/d/1I7oplbIbwHpN-JKIEXe533F7HoLSXFfO/view?usp=sharing
Green,Values of Green,https://drive.google.com/file/d/1vPW6y3A_1hnbWTvLw7JV1dZKOubsbq-j/view?usp=sharing
Yellow,Values of Yellow,https://drive.google.com/file/d/1F78_2bwOB6JwtrV1y11CUNVILvEmnbF2/view?usp=sharing
Does It Work,Can BEMER Fix/Cure,https://drive.google.com/file/d/16z2PloSn0Ez0UPDZAQql-IiDOjHBoWiQ/view?usp=sharing
Does It Work,Will This Exacerbate My Condition,https://drive.google.com/file/d/15i7GgYLtcnofoTolKn31VAdnzZ_Rngnp/view?usp=sharing
Does It Work,Can You Get The Same Benefit From Exercise?,https://drive.google.com/file/d/1f6LY72WQXPbCiYY0LSTIlliE_8jNHCf7/view?usp=sharing
Financial,IBD Buy Back Guarantee,https://drive.google.com/file/d/1kNe7lrGkMWHz2gGpTo6b8wbmWty3mt5I/view?usp=sharing
Financial,Price As An Objection,https://drive.google.com/file/d/1SLj3t0ZzcPJKYdzOLqcVXmr6rNCsgTbh/view?usp=sharing
Financial,How To Pay For BEMER,https://drive.google.com/file/d/1A8eKzh6_7b_MmFc6LAulUkqFmUZw4DYp/view?usp=sharing
Financial,Key Bank Credit Card Application,https://drive.google.com/file/d/0BxHmt1fEc6kQM3F1VXBqS2VydVk/view?usp=sharing
Company,Concerns About MLM,https://drive.google.com/file/d/1OszU0NNYZM9M6G7THbGsm0IJyk2buNDO/view?usp=sharing
Company,Competitor's False Business Concerns,https://drive.google.com/file/d/1cB1MNEibNQIYlGNUH4Hm-PDRkfAsq0L9/view?usp=sharing
Company,Buying From Amazon,https://drive.google.com/file/d/13xSXJtPwunuWSRYCRYN1LS6uc-Uqov7b/view?usp=sharing
Request They Join,Sustainable Systematic Wellness,https://drive.google.com/file/d/1D1cfCMj9Vn8U5KO8tpvT1JRlafCynKiq/view?usp=sharing
Request They Join,Prosperous Business Team,shared link ---->
Request They Join,Referring Others - Commission Sales,https://drive.google.com/file/d/1O-7_VNeaRCYs7_9ewF4kejlda7cO-Zrf/view?usp=sharing
Request They Join,Revolutionary Product,https://drive.google.com/file/d/1byFyN1pXhcrxcuKgSP4hJj_Dndmpeo56/view?usp=sharing
Closing The Sale,For New IBD,https://drive.google.com/file/d/1UmIVyiBUxQZxHumcxJ0rAUfJGw7m2HpF/view?usp=sharing
Closing The Sale,For New Customer,https://drive.google.com/file/d/1Qtt8wmC5WajcyTmBwK6XKnv2W9O9JQOU/view?usp=sharing
Not Yet,I'm committed for life... (changes in progress?),https://drive.google.com/file/d/1ArpRQI8r1xh6rJxMWQtb4gFLWmOzckKa/view?usp=sharing
Not Yet,Move To Long List (4) ,https://drive.google.com/file/d/1wIEovpq0r7QpTIo-5p6D5zT4P8XgJieE/view?usp=sharing
Training: Invite + attend,BYB Product Call,https://drive.google.com/file/d/1RkJrBVleG_vGbk4mXLW5dUTS9p64LAqv/view?usp=sharing
Training: Invite + attend,Business Development ,https://drive.google.com/file/d/1RSARhVoe8MF1vmcUNVvYgbk8vR9vTQ-u/view?usp=sharing
Training: Invite + attend,Communication Spaces,https://drive.google.com/file/d/1VvuvwXcsZZl04F9Lk9ywIF7i-0vfgXYV/view?usp=sharing
Training: Invite + attend,****Under construction**** (REMOVE FROM DOC - MAY BE REPLACED),
Educate (Tea),PITCH/FUP Email Series,shared link ---->
Educate (Tea),Required Education,https://drive.google.com/file/d/0BxHmt1fEc6kQMWlkT2V6SDlmZ1U/view?usp=sharing
Educate (Tea),Getting Started As New BEMER User Pro,https://drive.google.com/file/d/1tac-SABmRjrLDMkwTwCi1q0suZh2efQW/view?usp=sharing
Educate (Tea),Why Join Our Team,shared link ---->
Educate (Tea),Registered Resources,https://drive.google.com/file/d/1r5eOusJUxmYIQOyAmoSLF0KgzXJis0eA/view?usp=sharing
Ask Form (ask/allow),Mentored,https://drive.google.com/file/d/1sYvWCYiwfON4T1qMS6DeLKiitx5PUTTX/view?usp=sharing
Ask Form (ask/allow),Supported,https://drive.google.com/file/d/17qGq8uCCq5ine-tJ-vDyjxA788hJvvDl/view?usp=sharing
Ask Form (ask/allow),Recognized,https://drive.google.com/file/d/1h2AZfWJFK3COU116PVJcEA9Z6Mn96h1R/view?usp=sharing
Allow Form (ask/allow),Go At Their Own Pace,https://drive.google.com/file/d/1y5XSf0kyPxxN-wipXvDD_qBp-wUa1yUn/view?usp=sharing
Allow Form (ask/allow),Create Their Own Style,https://drive.google.com/file/d/1JXYpAbBIO2lpp-7YuAhHZQky1ORuUFM-/view?usp=sharing
H.O.M.E. ,Honor - 5 W's,https://drive.google.com/file/d/1H1GTmwfkh9GTVm4CZoCL7X-JWoaaDY1a/view?usp=sharing
H.O.M.E. ,Open To Opportunities,https://drive.google.com/file/d/1_lOLruRF-3fq_00kmN4gdrs21CRxdcNE/view?usp=sharing
H.O.M.E. ,Mirror - Clear,https://drive.google.com/file/d/1DHmP6eMkNjEQXiWN5QXmNpafVZdLkjtz/view?usp=sharing
H.O.M.E. ,Engage - Connect/Inspire ,https://drive.google.com/file/d/1onDEB1U1ab9zqOrkm6S88eqCyiYohGo9/view?usp=sharing
